id;ano;cid;qtde
387;2016;G12;1
388;2016;G21;1
389;2016;G24;4
390;2016;G25;1
391;2016;G26;1
392;2016;G35;2
393;2016;G37;1
394;2016;G37;2
395;2016;G40;43
396;2016;G40;14
397;2016;G40;9
398;2016;G41;1
399;2016;G41;1
400;2016;G43;21
401;2016;G43;5
402;2016;G43;13
403;2016;G44;31
404;2016;G44;1
405;2016;G44;23
406;2016;G45;6
407;2016;G45;2
408;2016;G45;1
409;2016;G46;1
410;2016;G47;1
411;2016;G47;1
412;2016;G50;7
413;2016;G50;2
414;2016;G51;11
415;2016;G51;1
416;2016;G51;2
417;2016;G52;1
418;2016;G53;1
419;2016;G54;24
420;2016;G54;9
421;2016;G54;12
422;2016;G55;24
423;2016;G55;23
424;2016;G55;1
425;2016;G56;143
426;2016;G56;844
427;2016;G56;15
428;2016;G57;29
429;2016;G57;4
430;2016;G57;6
431;2016;G58;6
432;2016;G58;4
433;2016;G61;2
434;2016;G62;2
435;2016;G62;4
436;2016;G62;2
437;2016;G70;1
438;2016;G70;1
439;2016;G71;3
440;2016;G71;1
441;2016;G72;6
442;2016;G80;1
443;2016;G81;1
444;2016;G82;15
445;2016;G82;13
446;2016;G83;5
447;2016;G83;1
448;2016;G83;1
449;2016;G90;3
450;2016;G91;1
451;2016;G92;2
452;2016;G93;13
453;2016;G93;1
454;2016;G93;5
455;2016;G94;1
456;2016;G94;1
457;2016;G95;3
458;2016;G95;2
459;2016;G96;1
460;2016;G96;1
461;2016;G97;1
462;2016;G97;1
463;2016;G98;1
464;2016;G98;2
465;2016;G98;1
466;2016;G99;2
467;2016;G99;1
468;2016;G99;2
469;2016;H00;15
470;2016;H01;15
471;2016;H01;1
472;2016;H02;41
473;2016;H02;2
474;2016;H03;1
475;2016;H04;3
476;2016;H05;42
477;2016;H05;3
478;2016;H06;3
479;2016;H10;726
480;2016;H10;14
481;2016;H10;8
482;2016;H11;277
483;2016;H11;1
484;2016;H11;7
485;2016;H13;25
486;2016;H13;2
487;2016;H15;31
488;2016;H16;1106
489;2016;H16;17
490;2016;H16;19
491;2016;H17;31
492;2016;H17;1
493;2016;H18;236
494;2016;H18;4
495;2016;H19;24
496;2016;H20;30
497;2016;H20;1
498;2016;H20;1
499;2016;H21;21
500;2016;H21;2
501;2016;H22;1
502;2016;H25;4
503;2016;H26;24
504;2016;H26;1
505;2016;H27;4
506;2016;H28;2
507;2016;H30;11
508;2016;H31;6
509;2016;H32;1
510;2016;H33;56
511;2016;H33;4
512;2016;H33;3
513;2016;H34;1
514;2016;H35;16
515;2016;H35;1
516;2016;H36;1
517;2016;H40;13
518;2016;H40;1
519;2016;H40;1
520;2016;H43;8
521;2016;H44;202
522;2016;H44;7
523;2016;H45;4
524;2016;H46;2
525;2016;H47;69
526;2016;H47;2
527;2016;H49;3
528;2016;H49;1
529;2016;H50;2
530;2016;H50;1
531;2016;H51;1
532;2016;H51;1
533;2016;H52;37
534;2016;H52;1
535;2016;H53;42
536;2016;H53;1
537;2016;H53;2
538;2016;H54;83
539;2016;H54;5
540;2016;H54;10
541;2016;H55;2
542;2016;H57;513
543;2016;H57;3
544;2016;H57;10
545;2016;H58;9
546;2016;H59;12
547;2016;H60;13
548;2016;H60;5
549;2016;H61;15
550;2016;H62;2
551;2016;H65;5
552;2016;H65;1
553;2016;H66;12
554;2016;H66;3
555;2016;H69;1
556;2016;H72;14
557;2016;H72;2
558;2016;H73;2
559;2016;H74;3
560;2016;H74;1
561;2016;H81;12
562;2016;H81;3
563;2016;H82;2
564;2016;H83;42
565;2016;H83;318
566;2016;H83;7
567;2016;H90;79
568;2016;H90;376
569;2016;H90;2
570;2016;H91;14
571;2016;H91;63
572;2016;H91;1
573;2016;H92;15
574;2016;H92;1
575;2016;H93;9
576;2016;H93;5
577;2016;H93;1
578;2016;H95;1
579;2016;I05;1
580;2016;I06;2
581;2016;I07;2
582;2016;I07;1
583;2016;I08;3
584;2016;I09;1
585;2016;I10;32
586;2016;I10;6
587;2016;I10;4
588;2016;I11;1
589;2016;I11;1
590;2016;I11;1
591;2016;I12;1
592;2016;I13;1
593;2016;I15;3
594;2016;I15;1
595;2016;I20;5
596;2016;I20;8
597;2016;I20;1
598;2016;I21;18
599;2016;I21;29
600;2016;I21;10
601;2016;I22;1
602;2016;I23;1
603;2016;I23;2
604;2016;I24;1
605;2016;I25;1
606;2016;I25;5
607;2016;I25;2
608;2016;I26;2
609;2016;I26;3
610;2016;I27;1
611;2016;I30;1
612;2016;I33;1
613;2016;I34;1
614;2016;I35;1
615;2016;I35;1
616;2016;I40;1
617;2016;I40;2
618;2016;I42;2
619;2016;I43;1
620;2016;I44;1
621;2016;I45;3
622;2016;I46;31
623;2016;I46;1
624;2016;I46;6
625;2016;I48;5
626;2016;I48;1
627;2016;I48;3
628;2016;I49;3
629;2016;I49;1
630;2016;I50;2
631;2016;I50;4
632;2016;I51;3
633;2016;I51;1
634;2016;I51;1
635;2016;I60;13
636;2016;I60;8
637;2016;I61;23
638;2016;I61;2
639;2016;I61;16
640;2016;I62;9
641;2016;I62;1
642;2016;I62;3
643;2016;I63;6
644;2016;I63;3
645;2016;I63;1
646;2016;I64;22
647;2016;I64;34
648;2016;I64;11
649;2016;I65;1
650;2016;I67;2
651;2016;I67;1
652;2016;I67;1
653;2016;I68;1
654;2016;I69;3
655;2016;I69;2
656;2016;I69;1
657;2016;I70;2
658;2016;I71;1
659;2016;I71;1
660;2016;I71;2
661;2016;I72;2
662;2016;I72;2
663;2016;I73;5
664;2016;I73;2
665;2016;I74;6
666;2016;I74;2
667;2016;I77;2
668;2016;I77;2
669;2016;I79;1
670;2016;I80;28
671;2016;I80;6
672;2016;I80;6
673;2016;I81;1
674;2016;I82;15
675;2016;I82;1
676;2016;I82;5
677;2016;I83;20
678;2016;I83;9
679;2016;I83;3
680;2016;I84;2
681;2016;I84;2
682;2016;I85;1
683;2016;I86;2
684;2016;I86;1
685;2016;I87;2
686;2016;I87;2
687;2016;I87;2
688;2016;I89;2
689;2016;I95;6
690;2016;I95;1
691;2016;I95;2
692;2016;I99;2
693;2016;J00;4
694;2016;J01;10
695;2016;J01;2
696;2016;J01;1
697;2016;J02;7
698;2016;J02;2
699;2016;J02;1
700;2016;J03;3
701;2016;J03;2
702;2016;J03;1
703;2016;J04;3
704;2016;J05;1
705;2016;J06;6
706;2016;J10;21
707;2016;J10;4
708;2016;J11;7
709;2016;J11;2
710;2016;J14;1
711;2016;J15;2
712;2016;J18;8
713;2016;J18;3
714;2016;J18;2
715;2016;J20;6
716;2016;J20;1
717;2016;J21;1
718;2016;J22;1
719;2016;J30;10
720;2016;J30;2
721;2016;J31;1
722;2016;J31;1
723;2016;J32;2
724;2016;J34;13
725;2016;J34;1
726;2016;J34;4
727;2016;J36;1
728;2016;J37;1
729;2016;J37;1
730;2016;J38;4
731;2016;J38;18
732;2016;J39;9
733;2016;J39;1
734;2016;J40;1
735;2016;J40;1
736;2016;J43;1
737;2016;J43;1
738;2016;J44;2
739;2016;J44;4
740;2016;J45;13
741;2016;J45;19
742;2016;J46;1
743;2016;J46;1
744;2016;J47;1
745;2016;J60;1
746;2016;J60;1
747;2016;J60;1
748;2016;J61;2
749;2016;J61;8
750;2016;J62;2
751;2016;J62;32
752;2016;J63;1
753;2016;J63;3
754;2016;J64;1
755;2016;J64;1
756;2016;J67;2
757;2016;J67;1
758;2016;J68;119
759;2016;J68;5
